id	word	lemma	pos	bigrams	entailment	
d	c	c	c	c	d
meta					class
3	0.625	0.7	0.7	0.929824561404	NO
4	0.8	0.846153846154	0.846153846154	0.968253968254	NO
11	0.75	0.777777777778	0.777777777778	0.888888888889	NO
12	0.4	0.5	0.5	0.714285714286	NO
13	0.777777777778	0.7	0.7	0.872340425532	YES
14	0.307692307692	0.466666666667	0.466666666667	0.783783783784	NO
18	0.5	0.714285714286	0.714285714286	0.878787878788	YES
23	0.6	0.666666666667	0.666666666667	0.903225806452	NO
25	0.857142857143	0.75	0.75	0.945945945946	YES
31	0.666666666667	0.714285714286	0.714285714286	0.864864864865	YES
33	0.5	0.714285714286	0.714285714286	0.857142857143	YES
34	0.9	0.909090909091	0.818181818182	0.934426229508	YES
35	1.0	1.0	1.0	0.977272727273	NO
41	0.5	0.6	0.6	0.807692307692	NO
44	0.9	0.909090909091	0.909090909091	0.924528301887	NO
46	0.777777777778	0.8	0.7	0.941176470588	NO
53	0.75	0.8	0.8	0.927272727273	NO
58	0.5	0.714285714286	0.714285714286	0.882352941176	YES
60	0.777777777778	0.8	0.8	0.865384615385	NO
61	0.666666666667	0.9	0.9	0.914285714286	YES
63	0.666666666667	0.714285714286	0.714285714286	0.764705882353	YES
75	0.75	0.777777777778	0.777777777778	0.878048780488	YES
76	0.846153846154	1.0	1.0	0.987804878049	YES
85	0.666666666667	0.714285714286	0.571428571429	0.971428571429	YES
87	0.428571428571	0.5	0.5	0.782608695652	YES
90	0.375	0.444444444444	0.444444444444	0.682926829268	NO
91	0.333333333333	0.625	0.5	0.775	YES
93	0.777777777778	0.8	0.8	0.851063829787	YES
97	0.555555555556	0.6	0.5	0.744680851064	YES
102	0.6	1.0	0.833333333333	0.966666666667	NO
108	0.75	0.777777777778	0.777777777778	0.904761904762	NO
123	0.692307692308	0.666666666667	0.666666666667	0.926829268293	YES
132	0.888888888889	0.9	0.9	0.957746478873	YES
134	0.5	0.555555555556	0.555555555556	0.717948717949	NO
135	0.7	0.727272727273	0.727272727273	0.875	YES
137	0.571428571429	0.5	0.5	0.757575757576	YES
142	0.5	0.8	0.7	0.860465116279	NO
144	0.625	0.222222222222	0.222222222222	0.735294117647	YES
157	0.6	0.636363636364	0.636363636364	0.857142857143	YES
158	0.571428571429	0.75	0.75	0.790697674419	NO
166	0.5	0.857142857143	0.714285714286	0.96875	YES
167	0.666666666667	0.714285714286	0.714285714286	0.853658536585	NO
171	0.5	0.6	0.6	0.77358490566	NO
172	0.666666666667	0.8	0.8	0.813559322034	NO
174	0.8	0.833333333333	0.833333333333	0.888888888889	YES
175	0.571428571429	0.625	0.625	0.771428571429	NO
178	0.333333333333	0.285714285714	0.285714285714	0.72972972973	YES
182	0.571428571429	0.875	0.875	0.860465116279	YES
186	0.4	0.5	0.5	0.702702702703	NO
197	0.571428571429	0.625	0.625	0.782608695652	YES
207	0.5	0.6	0.6	0.708333333333	YES
210	0.5	0.714285714286	0.714285714286	0.80487804878	YES
213	0.571428571429	0.75	0.75	0.777777777778	NO
214	0.5	0.555555555556	0.555555555556	0.714285714286	YES
215	0.928571428571	0.866666666667	0.866666666667	0.948717948718	NO
218	0.833333333333	0.571428571429	0.571428571429	0.885714285714	YES
220	0.714285714286	0.875	0.75	0.911111111111	YES
222	0.5	0.571428571429	0.571428571429	0.8	NO
223	0.666666666667	0.75	0.75	0.85	NO
225	0.666666666667	0.8	0.7	0.904761904762	NO
227	0.4	0.5	0.333333333333	0.6875	NO
229	1.0	1.0	1.0	1.0	NO
231	0.666666666667	0.8	0.7	0.96	YES
232	0.5	0.714285714286	0.714285714286	0.724137931034	NO
239	0.7	0.636363636364	0.636363636364	0.839285714286	YES
240	0.8	0.833333333333	0.833333333333	0.903225806452	YES
244	0.571428571429	0.5	0.5	0.818181818182	YES
247	0.333333333333	0.571428571429	0.428571428571	0.756756756757	NO
258	0.285714285714	0.25	0.25	0.591836734694	YES
259	1.0	1.0	1.0	0.941176470588	NO
262	0.625	0.555555555556	0.555555555556	0.830188679245	YES
266	0.625	0.555555555556	0.555555555556	0.913793103448	NO
268	0.571428571429	0.625	0.625	0.694444444444	NO
272	0.625	0.75	0.625	0.829787234043	NO
276	0.818181818182	0.833333333333	0.833333333333	0.914285714286	NO
285	0.666666666667	0.714285714286	0.714285714286	0.725	YES
289	0.714285714286	0.8	0.7	0.823529411765	NO
290	0.75	0.777777777778	0.777777777778	0.8	YES
294	0.666666666667	0.714285714286	0.714285714286	0.875	YES
299	0.6	0.666666666667	0.666666666667	0.884615384615	NO
308	0.571428571429	0.625	0.625	0.780487804878	YES
315	0.5	0.7	0.6	0.780487804878	NO
324	0.777777777778	0.75	0.75	0.909090909091	NO
332	0.7	0.727272727273	0.636363636364	0.814814814815	YES
338	0.571428571429	0.625	0.5	0.847826086957	YES
343	0.5	0.571428571429	0.571428571429	0.756756756757	NO
345	0.6	0.666666666667	0.666666666667	0.862068965517	NO
349	0.333333333333	0.4	0.4	0.642857142857	NO
353	0.777777777778	0.8	0.8	0.892857142857	NO
358	0.75	0.909090909091	0.818181818182	0.86	YES
360	0.625	0.666666666667	0.666666666667	0.882352941176	NO
372	0.428571428571	0.75	0.625	0.72972972973	YES
378	0.571428571429	0.818181818182	0.818181818182	0.829787234043	YES
383	0.5	0.571428571429	0.428571428571	0.805555555556	NO
384	0.818181818182	0.833333333333	0.75	0.867647058824	YES
389	1.0	1.0	1.0	1.0	YES
392	0.75	0.888888888889	0.777777777778	0.857142857143	YES
402	0.666666666667	0.8	0.8	0.9375	YES
403	0.888888888889	0.9	0.9	0.965517241379	YES
404	0.714285714286	0.625	0.625	0.761904761905	NO
408	0.714285714286	0.875	0.75	0.90243902439	YES
409	0.785714285714	0.8	0.8	0.927835051546	NO
410	0.5	0.571428571429	0.428571428571	0.815789473684	YES
414	0.625	0.7	0.7	0.84	YES
416	0.428571428571	0.571428571429	0.428571428571	0.710526315789	YES
418	0.714285714286	0.625	0.625	0.895833333333	NO
423	0.625	0.888888888889	0.777777777778	0.822222222222	YES
425	0.428571428571	0.75	0.5	0.823529411765	YES
427	0.857142857143	0.8	0.8	0.978723404255	NO
428	0.625	0.7	0.6	0.733333333333	NO
430	0.5	0.428571428571	0.285714285714	0.689655172414	NO
431	0.727272727273	0.75	0.666666666667	0.940298507463	NO
433	0.5	0.666666666667	0.555555555556	0.681818181818	YES
434	0.625	0.777777777778	0.666666666667	0.777777777778	YES
435	0.571428571429	0.625	0.5	0.8	NO
438	0.714285714286	0.875	0.875	0.783783783784	NO
439	0.5	0.636363636364	0.636363636364	0.833333333333	NO
441	0.571428571429	0.625	0.625	0.897435897436	YES
451	0.666666666667	0.7	0.7	0.843137254902	NO
464	0.714285714286	0.875	0.875	0.857142857143	NO
466	0.625	0.833333333333	0.833333333333	0.8	NO
477	0.428571428571	0.7	0.5	0.714285714286	YES
481	0.7	0.727272727273	0.636363636364	0.865384615385	YES
484	0.625	0.555555555556	0.555555555556	0.847826086957	YES
485	0.6	0.833333333333	0.833333333333	0.777777777778	NO
491	0.8	0.818181818182	0.727272727273	0.890909090909	NO
492	1.0	1.0	1.0	0.959183673469	YES
497	0.666666666667	0.8	0.8	0.846153846154	YES
500	0.833333333333	0.833333333333	0.666666666667	0.966666666667	YES
504	0.5	0.545454545455	0.545454545455	0.77358490566	NO
506	0.7	0.818181818182	0.818181818182	0.916666666667	YES
508	0.285714285714	0.375	0.375	0.688888888889	YES
512	0.75	0.888888888889	0.888888888889	0.925925925926	NO
525	0.777777777778	0.6	0.6	0.837209302326	NO
534	0.714285714286	0.75	0.75	0.868421052632	NO
535	0.5	0.8	0.8	0.857142857143	YES
537	0.75	0.8	0.7	0.843137254902	YES
542	0.4	0.375	0.375	0.69696969697	YES
546	0.5	0.571428571429	0.571428571429	0.75	NO
547	0.6	0.666666666667	0.666666666667	0.9375	YES
548	0.5	0.777777777778	0.666666666667	0.791666666667	YES
549	0.625	0.666666666667	0.666666666667	0.777777777778	YES
556	0.5	0.666666666667	0.555555555556	0.847826086957	NO
557	0.777777777778	0.818181818182	0.727272727273	0.985507246377	NO
562	0.5	0.571428571429	0.428571428571	0.675675675676	YES
567	0.428571428571	0.571428571429	0.428571428571	0.628571428571	NO
570	0.5	0.545454545455	0.545454545455	0.642857142857	YES
573	0.75	0.777777777778	0.555555555556	0.88679245283	YES
580	0.846153846154	0.928571428571	0.928571428571	0.985915492958	NO
581	0.75	0.777777777778	0.777777777778	0.809523809524	NO
587	0.857142857143	0.875	0.875	0.939393939394	YES
589	0.625	0.666666666667	0.666666666667	0.888888888889	YES
593	0.625	0.75	0.625	0.846153846154	NO
598	0.6	0.666666666667	0.666666666667	0.821428571429	NO
604	0.75	0.888888888889	0.888888888889	0.854166666667	NO
613	0.666666666667	0.75	0.75	0.862068965517	YES
618	0.833333333333	0.909090909091	0.818181818182	0.891891891892	YES
620	0.916666666667	0.923076923077	0.923076923077	0.972222222222	YES
625	0.666666666667	0.75	0.75	0.818181818182	NO
626	0.875	0.777777777778	0.666666666667	0.933333333333	YES
627	0.7	0.727272727273	0.727272727273	0.816326530612	NO
628	0.6	0.8	0.8	0.941176470588	NO
639	0.625	0.333333333333	0.333333333333	0.75	YES
641	0.666666666667	0.75	0.75	0.893617021277	YES
646	0.428571428571	0.5	0.5	0.692307692308	NO
651	0.625	0.666666666667	0.555555555556	0.782608695652	NO
653	0.8	0.666666666667	0.666666666667	0.785714285714	NO
655	0.777777777778	0.9	0.8	0.936170212766	NO
657	0.571428571429	0.875	0.875	0.954545454545	NO
663	0.5	0.428571428571	0.428571428571	0.666666666667	YES
668	0.5	0.428571428571	0.428571428571	0.833333333333	NO
670	0.571428571429	0.625	0.625	0.897435897436	YES
671	0.75	0.769230769231	0.769230769231	0.830769230769	NO
678	0.75	0.8	0.8	0.813953488372	YES
679	0.75	0.666666666667	0.444444444444	0.8	YES
680	0.666666666667	0.7	0.6	0.881355932203	NO
684	0.909090909091	0.916666666667	0.916666666667	0.960526315789	NO
692	0.6	0.666666666667	0.666666666667	0.93023255814	NO
701	0.571428571429	0.625	0.625	0.86	NO
702	0.714285714286	0.75	0.75	0.891304347826	NO
707	0.9	0.9	0.9	1.0	YES
711	0.5	0.625	0.625	0.657142857143	NO
712	0.666666666667	0.714285714286	0.714285714286	0.886363636364	YES
713	0.5	0.2	0.2	0.684210526316	YES
719	0.625	0.75	0.625	0.857142857143	NO
727	0.714285714286	0.875	0.75	0.938775510204	YES
729	0.666666666667	0.8	0.8	0.964285714286	YES
731	0.666666666667	0.8	0.7	0.948275862069	NO
732	0.714285714286	0.75	0.75	0.810810810811	YES
736	0.916666666667	0.923076923077	0.923076923077	0.882352941176	YES
745	0.666666666667	0.7	0.7	0.787234042553	NO
746	0.375	0.555555555556	0.555555555556	0.763157894737	NO
755	0.571428571429	0.625	0.625	0.860465116279	NO
764	0.846153846154	0.857142857143	0.857142857143	0.936708860759	NO
776	0.8	0.909090909091	0.909090909091	0.926470588235	NO
777	0.8	0.833333333333	0.666666666667	0.733333333333	NO
780	0.375	0.666666666667	0.444444444444	0.769230769231	YES
786	1.0	0.894736842105	0.894736842105	0.990384615385	NO
793	0.823529411765	0.833333333333	0.777777777778	0.939130434783	YES
796	0.857142857143	0.875	0.75	0.925	YES
1	0.142857142857	0.2	0.2	0.6	NO
15	0.142857142857	0.3	0.3	0.615384615385	YES
16	0.285714285714	0.5	0.375	0.446808510638	NO
19	0.285714285714	0.3	0.3	0.523076923077	NO
24	0.833333333333	1.0	0.857142857143	0.97619047619	YES
30	0.5	0.6	0.6	0.645161290323	YES
40	0.333333333333	0.285714285714	0.285714285714	0.842105263158	YES
43	0.666666666667	0.571428571429	0.428571428571	0.777777777778	YES
47	1.0	1.0	1.0	1.0	YES
54	0.833333333333	1.0	1.0	0.866666666667	NO
62	0.5	0.4	0.4	0.777777777778	YES
65	0.5	0.8	0.6	0.633333333333	YES
66	0.25	0.4	0.4	0.6	NO
68	1.0	1.0	1.0	0.96875	YES
70	0.285714285714	0.625	0.5	0.628571428571	NO
72	0.625	0.666666666667	0.666666666667	0.755555555556	YES
94	0.25	0.4	0.4	0.633333333333	YES
96	0.333333333333	0.285714285714	0.285714285714	0.631578947368	YES
99	0.6	0.333333333333	0.333333333333	0.702702702703	NO
103	0.0	0.4	0.4	0.7	YES
106	1.0	0.833333333333	0.833333333333	0.970588235294	YES
107	0.8	0.833333333333	0.833333333333	0.891891891892	YES
110	0.833333333333	0.714285714286	0.571428571429	0.866666666667	NO
114	0.625	0.666666666667	0.666666666667	0.666666666667	NO
115	0.75	0.888888888889	0.888888888889	0.872340425532	YES
116	0.666666666667	0.714285714286	0.571428571429	0.714285714286	YES
117	0.5	0.533333333333	0.466666666667	0.654761904762	NO
120	0.4	0.666666666667	0.666666666667	0.735294117647	NO
121	0.75	0.6	0.6	0.925925925926	NO
122	0.5	0.571428571429	0.571428571429	0.666666666667	NO
127	0.714285714286	0.75	0.625	0.829787234043	NO
130	0.5	0.875	0.75	0.886363636364	YES
138	0.8	0.833333333333	0.833333333333	0.864864864865	YES
140	0.0	0.125	0.125	0.618181818182	NO
141	0.333333333333	0.428571428571	0.428571428571	0.609756097561	NO
146	0.571428571429	0.875	0.875	0.860465116279	YES
148	0.333333333333	0.571428571429	0.428571428571	0.8	NO
149	0.5	0.6	0.6	0.633333333333	YES
150	0.571428571429	0.625	0.5	0.785714285714	YES
155	0.6	0.666666666667	0.666666666667	0.757575757576	YES
161	0.5	0.533333333333	0.533333333333	0.785714285714	NO
164	0.2	0.166666666667	0.166666666667	0.405405405405	NO
176	0.75	0.888888888889	0.888888888889	0.911111111111	YES
179	0.5	0.714285714286	0.714285714286	0.785714285714	YES
184	0.875	0.777777777778	0.777777777778	0.933333333333	YES
190	0.5	0.4	0.4	0.777777777778	YES
191	0.75	0.777777777778	0.777777777778	0.911111111111	NO
192	0.428571428571	0.5	0.5	0.826086956522	YES
193	0.142857142857	0.25	0.25	0.4	NO
196	0.272727272727	0.416666666667	0.416666666667	0.310344827586	NO
198	0.5	0.714285714286	0.714285714286	0.785714285714	NO
200	0.642857142857	0.733333333333	0.733333333333	0.869047619048	YES
